(1.2617149353027344, 0, 'out', 'prompt', 0, 406)
(1.5319507122039795, 0, 'in', 'prompt', 0, 406)
(1.5319507122039795, 0, 'out', 'decode', 406, 1)
(1.7186179161071777, 0, 'in', 'decode', 406, 1)
(1.7186179161071777, 0, 'out', 'decode', 407, 1)
(1.7975881099700928, 0, 'in', 'decode', 407, 1)
(1.7975881099700928, 0, 'out', 'decode', 408, 1)
(1.8758366107940674, 0, 'in', 'decode', 408, 1)
(1.8758366107940674, 0, 'out', 'decode', 409, 1)
(1.9545681476593018, 0, 'in', 'decode', 409, 1)
(1.9545681476593018, 0, 'out', 'decode', 410, 1)
(2.0329437255859375, 0, 'in', 'decode', 410, 1)
(2.0329437255859375, 0, 'out', 'decode', 411, 1)
(2.1110386848449707, 0, 'in', 'decode', 411, 1)
(2.1110386848449707, 0, 'out', 'decode', 412, 1)
(2.189601421356201, 0, 'in', 'decode', 412, 1)
(2.189601421356201, 0, 'out', 'decode', 413, 1)
(2.267674684524536, 0, 'in', 'decode', 413, 1)
(2.267674684524536, 0, 'out', 'decode', 414, 1)
(2.2738633155822754, 1, 'out', 'prompt', 0, 121)
(2.3457117080688477, 0, 'in', 'decode', 414, 1)
(2.3457117080688477, 0, 'out', 'decode', 415, 1)
(2.4090347290039062, 1, 'in', 'prompt', 0, 121)
(2.4090347290039062, 1, 'out', 'decode', 121, 1)
(2.429008722305298, 0, 'in', 'decode', 415, 1)
(2.429008722305298, 0, 'out', 'decode', 416, 1)
(2.4860308170318604, 1, 'in', 'decode', 121, 1)
(2.4860308170318604, 1, 'out', 'decode', 122, 1)
(2.506666421890259, 0, 'in', 'decode', 416, 1)
(2.506666421890259, 0, 'out', 'decode', 417, 1)
(2.5632076263427734, 1, 'in', 'decode', 122, 1)
(2.5632076263427734, 1, 'out', 'decode', 123, 1)
(2.5844061374664307, 0, 'in', 'decode', 417, 1)
(2.5844061374664307, 0, 'out', 'decode', 418, 1)
(2.6399307250976562, 1, 'in', 'decode', 123, 1)
(2.6399307250976562, 1, 'out', 'decode', 124, 1)
(2.662139654159546, 0, 'in', 'decode', 418, 1)
(2.662139654159546, 0, 'out', 'decode', 419, 1)
(2.7171082496643066, 1, 'in', 'decode', 124, 1)
(2.7171082496643066, 1, 'out', 'decode', 125, 1)
(2.7396724224090576, 0, 'in', 'decode', 419, 1)
(2.7396724224090576, 0, 'out', 'decode', 420, 1)
(2.794320583343506, 1, 'in', 'decode', 125, 1)
(2.794320583343506, 1, 'out', 'decode', 126, 1)
(2.817016124725342, 0, 'in', 'decode', 420, 1)
(2.817016124725342, 0, 'out', 'decode', 421, 1)
(2.8709733486175537, 1, 'in', 'decode', 126, 1)
(2.8709733486175537, 1, 'out', 'decode', 127, 1)
(2.894305944442749, 0, 'in', 'decode', 421, 1)
(2.894305944442749, 0, 'out', 'decode', 422, 1)
(2.9478776454925537, 1, 'in', 'decode', 127, 1)
(2.9478776454925537, 1, 'out', 'decode', 128, 1)
(2.971682071685791, 0, 'in', 'decode', 422, 1)
(2.971682071685791, 0, 'out', 'decode', 423, 1)
(3.024484634399414, 1, 'in', 'decode', 128, 1)
(3.024484634399414, 1, 'out', 'decode', 129, 1)
(3.049062728881836, 0, 'in', 'decode', 423, 1)
(3.049062728881836, 0, 'out', 'decode', 424, 1)
(3.1013948917388916, 1, 'in', 'decode', 129, 1)
(3.1013948917388916, 1, 'out', 'decode', 130, 1)
(3.126849412918091, 0, 'in', 'decode', 424, 1)
(3.126849412918091, 0, 'out', 'decode', 425, 1)
(3.1797497272491455, 1, 'in', 'decode', 130, 1)
(3.1797497272491455, 1, 'out', 'decode', 131, 1)
(3.2062618732452393, 0, 'in', 'decode', 425, 1)
(3.2062618732452393, 0, 'out', 'decode', 426, 1)
