(0, 405, 103, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(1, 120, 12, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(2, 1068, 429, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(3, 1039, 401, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(4, 422, 144, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(5, 1050, 397, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(6, 374, 114, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(7, 419, 148, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(8, 237, 126, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(9, 1103, 414, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(10, 209, 217, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(11, 1316, 135, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(12, 1066, 415, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(13, 409, 93, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(14, 395, 83, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(15, 221, 48, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(16, 1096, 398, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(17, 1077, 483, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(18, 1027, 396, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(19, 1353, 156, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(20, 407, 115, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(21, 1089, 525, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(22, 1245, 384, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(23, 397, 127, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
(24, 395, 101, [1, 2, 3, 4, 0], [0, 15, 30, 45, 60], [15, 30, 45, 60, 60])
