0,0
250,5
500,10
750,14
1000,19
1250,23
1500,28
1750,33
2000,37
2250,43
2500,46
2750,51
3000,56
3250,62
3500,66
3750,79
4000,77
4250,90
4500,97
4750,102
5000,106
5250,106
5500,106
5750,113
6000,116
6250,121
6500,133
6750,132
7000,134
7250,140
7500,146
7750,158
8000,153
8250,165
8500,163
8750,169
9000,190
9250,178
9500,183
9750,190
10000,192
10250,208
10500,208
10750,203
11000,208
11250,214
11500,225
11750,223
12000,229
12250,233
12500,238
12750,252
13000,247
13250,253
13500,259
13750,262
14000,275
14250,273
14500,277
14750,289
15000,287
