(57, 1028, 411, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(58, 1050, 404, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(59, 396, 83, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(60, 1171, 388, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(61, 1037, 419, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(62, 1115, 413, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(63, 1000, 414, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(64, 433, 84, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(65, 380, 102, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(66, 181, 124, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(67, 406, 93, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(68, 197, 217, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(69, 206, 186, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
(70, 120, 12, [1, 2, 3, 4, 0], [0, 20, 40, 60, 80], [20, 40, 60, 80, 80])
