(1, 120, 12, [18, 11, 10, 7, 8, 1, 19, 2, 12, 6, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(0, 405, 103, [18, 11, 10, 7, 4, 5, 3, 2, 20, 9, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(3, 1039, 401, [18, 11, 10, 7, 4, 22, 16, 15, 12, 17, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(2, 1068, 429, [18, 11, 10, 7, 24, 1, 3, 15, 13, 9, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(5, 401, 109, [18, 11, 10, 7, 24, 5, 19, 14, 12, 9, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(4, 1169, 421, [18, 11, 10, 7, 8, 22, 19, 15, 20, 6, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(6, 374, 114, [18, 11, 10, 7, 4, 1, 23, 2, 13, 6, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(7, 413, 106, [18, 11, 10, 7, 24, 22, 23, 21, 13, 17, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(8, 212, 183, [18, 11, 10, 7, 8, 5, 23, 15, 13, 9, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(9, 405, 94, [18, 11, 10, 7, 4, 5, 16, 21, 12, 6, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(10, 1316, 135, [18, 11, 10, 7, 8, 1, 16, 14, 20, 17, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(11, 1066, 415, [18, 11, 10, 7, 24, 1, 19, 21, 20, 9, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(12, 409, 93, [18, 11, 10, 7, 4, 22, 3, 14, 13, 6, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(13, 395, 83, [18, 11, 10, 7, 8, 22, 16, 2, 12, 17, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(14, 221, 48, [18, 11, 10, 7, 24, 5, 3, 21, 13, 17, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(15, 1096, 398, [18, 11, 10, 7, 4, 1, 23, 14, 12, 9, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(17, 181, 257, [18, 11, 10, 7, 8, 5, 23, 15, 12, 6, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(16, 1077, 483, [18, 11, 10, 7, 24, 22, 23, 2, 20, 6, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(18, 1027, 396, [18, 11, 10, 7, 4, 22, 3, 2, 13, 17, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
(20, 109, 120, [18, 11, 10, 7, 8, 1, 16, 15, 20, 17, 0], [0, 6, 12, 18, 24, 30, 36, 42, 48, 54, 60], [6, 12, 18, 24, 30, 36, 42, 48, 54, 60, 60])
