(0, 420, 124, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(1, 120, 12, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(2, 388, 84, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(3, 209, 193, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(4, 1344, 56, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(5, 401, 109, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(6, 413, 106, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(7, 181, 120, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(8, 209, 217, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(9, 1066, 415, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(10, 409, 93, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(11, 203, 138, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(12, 203, 217, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(13, 1077, 483, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(14, 1041, 400, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(15, 407, 115, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(16, 408, 96, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(17, 381, 76, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(18, 1146, 605, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(19, 431, 115, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(20, 976, 40, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(21, 1189, 74, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(22, 415, 119, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(23, 1316, 159, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(24, 200, 205, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(25, 997, 394, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(26, 333, 18, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(27, 374, 62, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(28, 1029, 406, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(29, 424, 114, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(30, 379, 78, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(31, 1999, 97, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(32, 1101, 391, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(33, 994, 392, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(34, 379, 48, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(35, 181, 162, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(36, 401, 144, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(37, 1314, 232, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
(38, 415, 142, [1, 2, 3, 4, 5, 6, 7, 8, 0], [0, 7, 14, 21, 28, 36, 44, 52, -1], [7, 14, 21, 28, 36, 44, 52, 60, -1])
