0,0
2,1.4
4,1.5
6,1.6
8,1.7
10,1.8
12,2.0
14,2.1
16,2.1
18,2.3
20,2.4
25,2.5
30,2.7
35,2.9
40,3.0
45,3.2
50,3.4
55,3.6
60,3.8
65,4.0
70,4.2
75,4.3
80,4.5
85,4.7
90,4.9
95,5.1
100,5.6
120,6
140,7
160,8
180,8
200,9
220,10
240,11
260,12
280,13
300,14
320,14
340,15
360,16
380,16
400,18
420,19
440,19
460,20
480,21
500,21
