0,0
250,12
500,20
750,27
1000,38
1250,46
1500,54
1750,64
2000,72
2250,80
2500,89
2750,97
3000,105
3250,114
3500,121
3750,131
4000,139
4250,145
4500,155
4750,162
5000,171
5250,184
5500,185
5750,191
6000,200
6250,209
6500,218
6750,229
7000,235
7250,240
7500,246
